       Step     Time          Energy         fmax
GPMin:   22 16:10:50       -4.801849        0.0517
GPMin:   23 16:10:55       -4.805476        0.0551
GPMin:   24 16:11:00       -4.811062        0.0381
GPMin:   25 16:11:05       -4.814314        0.0433
GPMin:   26 16:11:10       -4.820605        0.0541
GPMin:   27 16:11:15       -4.826759        0.0486
GPMin:   28 16:11:21       -4.834376        0.0531
GPMin:   29 16:11:27       -4.846205        0.0653
GPMin:   30 16:11:32       -4.858743        0.0564
GPMin:   31 16:11:38       -4.869126        0.0505
GPMin:   32 16:11:44       -4.877006        0.0455
GPMin:   33 16:11:49       -4.881219        0.0388
GPMin:   34 16:11:55       -4.883015        0.0416
GPMin:   35 16:12:00       -4.886345        0.0373
GPMin:   36 16:12:05       -4.888276        0.0221
GPMin:   37 16:12:10       -4.889067        0.0179
       Step     Time          Energy         fmax
GPMin:    0 16:12:20       -3.168031        1.3517
GPMin:    1 16:12:26       -4.009856        0.6024
GPMin:    2 16:12:33       -4.287250        0.2571
GPMin:    3 16:12:38       -4.353087        0.0971
GPMin:    4 16:12:43       -4.362385        0.1251
GPMin:    5 16:12:49       -4.375706        0.1087
GPMin:    6 16:13:10       -4.398550        0.1099
GPMin:    7 16:13:24       -4.408089        0.0882
GPMin:    8 16:13:38       -4.408893        0.2165
GPMin:    9 16:13:44       -4.426030        0.1662
GPMin:   10 16:13:50       -4.435313        0.0988
GPMin:   11 16:14:11       -4.464462        0.1431
GPMin:   12 16:14:17       -4.504904        0.1805
GPMin:   13 16:14:22       -4.522719        0.1951
GPMin:   14 16:14:30       -4.585008        0.3278
GPMin:   15 16:14:36       -4.606326        0.1980
GPMin:   16 16:14:41       -4.615975        0.1925
GPMin:   17 16:14:47       -4.649555        0.1677
GPMin:   18 16:14:53       -4.678318        0.1520
GPMin:   19 16:14:59       -4.703617        0.1401
GPMin:   20 16:15:05       -4.729329        0.1302
GPMin:   21 16:15:11       -4.757330        0.1268
GPMin:   22 16:15:17       -4.785024        0.1214
GPMin:   23 16:15:22       -4.813048        0.1088
GPMin:   24 16:15:28       -4.834299        0.0908
GPMin:   25 16:15:34       -4.851104        0.0725
GPMin:   26 16:15:39       -4.864173        0.0606
GPMin:   27 16:15:45       -4.872384        0.0477
GPMin:   28 16:15:50       -4.879631        0.0332
GPMin:   29 16:15:54       -4.884180        0.0313
GPMin:   30 16:15:59       -4.887461        0.0206
GPMin:   31 16:16:04       -4.889004        0.0185
       Step     Time          Energy         fmax
GPMin:    0 16:16:14       -3.162823        1.3548
GPMin:    1 16:16:20       -4.007098        0.6057
GPMin:    2 16:16:27       -4.286105        0.2592
GPMin:    3 16:16:32       -4.352693        0.0984
GPMin:    4 16:16:38       -4.361940        0.1260
GPMin:    5 16:16:43       -4.375425        0.1064
GPMin:    6 16:16:49       -4.390266        0.1377
GPMin:    7 16:16:54       -4.403691        0.1202
GPMin:    8 16:17:06       -4.451810        0.1051
GPMin:    9 16:17:12       -4.454908        0.0498
GPMin:   10 16:17:23       -4.455631        0.0456
GPMin:   11 16:17:30       -4.467319        0.1061
GPMin:   12 16:17:36       -4.500182        0.1719
GPMin:   13 16:17:43       -4.553658        0.1935
GPMin:   14 16:17:49       -4.573995        0.1980
GPMin:   15 16:17:56       -4.706048        0.1843
GPMin:   16 16:18:03       -4.773909        0.1728
GPMin:   17 16:18:10       -4.802289        0.2198
GPMin:   18 16:18:16       -4.832671        0.1680
GPMin:   19 16:18:21       -4.860390        0.0793
GPMin:   20 16:18:26       -4.869404        0.0584
GPMin:   21 16:18:31       -4.871977        0.0492
GPMin:   22 16:18:37       -4.878700        0.0430
GPMin:   23 16:18:42       -4.883009        0.0362
GPMin:   24 16:18:46       -4.884891        0.0306
