       Step     Time          Energy         fmax
GPMin:    8 16:16:30       -6.596151        0.2487
GPMin:    9 16:16:38       -6.624488        0.2490
GPMin:   10 16:16:45       -6.679309        0.2300
GPMin:   11 16:16:51       -6.775092        0.2300
GPMin:   12 16:16:58       -6.877790        0.2322
GPMin:   13 16:17:04       -6.971770        0.2210
GPMin:   14 16:17:10       -7.048365        0.1884
GPMin:   15 16:17:16       -7.102136        0.1437
GPMin:   16 16:17:23       -7.140172        0.1373
GPMin:   17 16:17:29       -7.170624        0.1353
GPMin:   18 16:17:35       -7.195582        0.1123
GPMin:   19 16:17:42       -7.213954        0.0775
GPMin:   20 16:17:48       -7.225127        0.0482
GPMin:   21 16:17:54       -7.231430        0.0495
GPMin:   22 16:18:01       -7.235049        0.0395
GPMin:   23 16:18:06       -7.237037        0.0285
GPMin:   24 16:18:12       -7.239027        0.0250
GPMin:   25 16:18:17       -7.239589        0.0205
GPMin:   26 16:18:24       -7.240334        0.0188
       Step     Time          Energy         fmax
GPMin:    0 16:18:37       -4.444600        1.4685
GPMin:    1 16:18:46       -5.595456        0.8206
GPMin:    2 16:18:54       -6.112589        0.4816
GPMin:    3 16:19:02       -6.345251        0.3112
GPMin:    4 16:19:09       -6.423460        0.2445
GPMin:    5 16:19:18       -6.545984        0.2132
GPMin:    6 16:19:26       -6.551280        0.1758
GPMin:    7 16:19:37       -6.617268        0.2427
GPMin:    8 16:19:45       -6.643350        0.2653
GPMin:    9 16:19:53       -6.676872        0.2641
GPMin:   10 16:20:01       -6.740377        0.2449
GPMin:   11 16:20:07       -6.841079        0.2316
GPMin:   12 16:20:14       -6.940967        0.2255
GPMin:   13 16:20:21       -7.029963        0.2020
GPMin:   14 16:20:29       -7.096231        0.1662
GPMin:   15 16:20:35       -7.138146        0.1230
GPMin:   16 16:20:41       -7.167274        0.1267
GPMin:   17 16:20:48       -7.190786        0.1208
GPMin:   18 16:20:53       -7.210460        0.0918
GPMin:   19 16:21:00       -7.224025        0.0549
GPMin:   20 16:21:06       -7.231178        0.0442
GPMin:   21 16:21:13       -7.234868        0.0411
GPMin:   22 16:21:19       -7.237079        0.0303
GPMin:   23 16:21:25       -7.238669        0.0295
GPMin:   24 16:21:30       -7.240158        0.0231
GPMin:   25 16:21:35       -7.240534        0.0182
       Step     Time          Energy         fmax
GPMin:    0 16:21:50       -4.419542        1.4654
GPMin:    1 16:22:00       -5.561653        0.8069
GPMin:    2 16:22:08       -6.072740        0.4687
GPMin:    3 16:22:17       -6.301072        0.3007
GPMin:    4 16:22:24       -6.375399        0.2379
GPMin:    5 16:22:33       -6.486200        0.2168
GPMin:    6 16:22:41       -6.502189        0.1697
GPMin:    7 16:22:51       -6.562941        0.2363
GPMin:    8 16:22:58       -6.582004        0.2534
GPMin:    9 16:23:06       -6.606170        0.2493
GPMin:   10 16:23:14       -6.657944        0.2295
GPMin:   11 16:23:20       -6.753205        0.2345
GPMin:   12 16:23:26       -6.857235        0.2381
GPMin:   13 16:23:33       -6.954446        0.2302
GPMin:   14 16:23:39       -7.034845        0.2012
GPMin:   15 16:23:45       -7.092258        0.1548
GPMin:   16 16:23:52       -7.134312        0.1402
GPMin:   17 16:23:58       -7.167329        0.1331
GPMin:   18 16:24:05       -7.192899        0.1090
GPMin:   19 16:24:11       -7.211734        0.0752
GPMin:   20 16:24:18       -7.223324        0.0512
GPMin:   21 16:24:24       -7.230062        0.0519
GPMin:   22 16:24:30       -7.233979        0.0410
GPMin:   23 16:24:36       -7.235887        0.0282
GPMin:   24 16:24:42       -7.237886        0.0294
GPMin:   25 16:24:47       -7.238449        0.0250
GPMin:   26 16:24:54       -7.239233        0.0136
       Step     Time          Energy         fmax
GPMin:    0 16:25:08       -4.304531        1.3578
GPMin:    1 16:25:19       -5.362489        0.7327
GPMin:    2 16:25:29       -5.831096        0.4176
GPMin:    3 16:25:39       -6.047339        0.2610
GPMin:    4 16:25:46       -6.119853        0.2021
GPMin:    5 16:25:56       -6.198208        0.0934
GPMin:    6 16:26:04       -6.203504        0.1020
GPMin:    7 16:26:12       -6.218848        0.0931
GPMin:    8 16:26:31       -6.228227        0.0920
GPMin:    9 16:26:41       -6.353435        0.1853
GPMin:   10 16:26:50       -6.391390        0.2403
GPMin:   11 16:26:58       -6.415586        0.2610
GPMin:   12 16:27:05       -6.447476        0.2623
GPMin:   13 16:27:12       -6.488528        0.2542
GPMin:   14 16:27:20       -6.539566        0.2410
GPMin:   15 16:27:28       -6.583553        0.2250
GPMin:   16 16:27:36       -6.637847        0.2160
GPMin:   17 16:27:44       -6.689522        0.2186
GPMin:   18 16:27:52       -6.755638        0.2345
GPMin:   19 16:28:00       -6.827893        0.2483
GPMin:   20 16:28:07       -6.904049        0.2580
GPMin:   21 16:28:15       -6.977309        0.2499
GPMin:   22 16:28:22       -7.040916        0.2139
GPMin:   23 16:28:28       -7.086052        0.1489
GPMin:   24 16:28:35       -7.109345        0.0691
GPMin:   25 16:28:41       -7.118860        0.0740
GPMin:   26 16:28:48       -7.127963        0.0740
GPMin:   27 16:28:55       -7.133375        0.0720
GPMin:   28 16:29:02       -7.138705        0.0345
GPMin:   29 16:29:08       -7.139386        0.0313
GPMin:   30 16:29:15       -7.141544        0.0341
GPMin:   31 16:29:21       -7.142648        0.0182
       Step     Time          Energy         fmax
GPMin:    0 16:29:32       -5.087046        1.5437
GPMin:    1 16:29:41       -6.173785        0.8152
GPMin:    2 16:29:49       -6.646814        0.4430
GPMin:    3 16:29:57       -6.858474        0.2267
GPMin:    4 16:30:04       -6.927552        0.1017
GPMin:    5 16:30:11       -6.937177        0.0519
GPMin:    6 16:30:16       -6.938007        0.0414
GPMin:    7 16:30:23       -6.942071        0.0233
GPMin:    8 16:30:30       -6.943606        0.0254
GPMin:    9 16:30:36       -6.945763        0.0351
GPMin:   10 16:30:43       -6.950439        0.0414
GPMin:   11 16:30:49       -6.953446        0.0431
GPMin:   12 16:30:56       -6.964010        0.0623
GPMin:   13 16:31:04       -6.972430        0.0770
GPMin:   14 16:31:11       -6.984973        0.0832
GPMin:   15 16:31:18       -7.005241        0.0854
GPMin:   16 16:31:25       -7.030336        0.0829
GPMin:   17 16:31:32       -7.059657        0.0893
GPMin:   18 16:31:39       -7.094869        0.1016
GPMin:   19 16:31:46       -7.137345        0.1046
GPMin:   20 16:31:52       -7.180857        0.0994
GPMin:   21 16:31:58       -7.217789        0.0868
GPMin:   22 16:32:05       -7.245360        0.0847
GPMin:   23 16:32:11       -7.260776        0.0739
GPMin:   24 16:32:17       -7.268936        0.0553
GPMin:   25 16:32:24       -7.274698        0.0555
GPMin:   26 16:32:30       -7.276994        0.0412
GPMin:   27 16:32:36       -7.278234        0.0267
GPMin:   28 16:32:43       -7.279977        0.0404
GPMin:   29 16:32:48       -7.280470        0.0271
GPMin:   30 16:32:54       -7.280764        0.0127
       Step     Time          Energy         fmax
GPMin:    0 16:33:06       -5.129068        1.6481
GPMin:    1 16:33:14       -6.284280        0.8770
GPMin:    2 16:33:22       -6.794129        0.4858
GPMin:    3 16:33:30       -7.027106        0.2673
GPMin:    4 16:33:38       -7.108469        0.1330
GPMin:    5 16:33:44       -7.123371        0.0698
GPMin:    6 16:33:51       -7.125779        0.0540
GPMin:    7 16:33:58       -7.134130        0.0383
GPMin:    8 16:34:04       -7.137499        0.0380
GPMin:    9 16:34:09       -7.138917        0.0378
GPMin:   10 16:34:16       -7.140774        0.0225
GPMin:   11 16:34:22       -7.141153        0.0193
       Step     Time          Energy         fmax
GPMin:    0 16:34:33       -5.383175        1.3625
GPMin:    1 16:34:40       -6.501418        0.7566
GPMin:    2 16:34:47       -6.992209        0.4128
GPMin:    3 16:34:53       -7.208499        0.1902
GPMin:    4 16:35:00       -7.273205        0.0564
GPMin:    5 16:35:05       -7.278192        0.0260
GPMin:    6 16:35:09       -7.278482        0.0254
GPMin:    7 16:35:16       -7.280441        0.0110
       Step     Time          Energy         fmax
GPMin:    0 16:35:32       -4.527281        1.4079
GPMin:    1 16:35:42       -5.476630        0.6870
GPMin:    2 16:35:52       -5.885224        0.4107
GPMin:    3 16:36:01       -6.073488        0.2799
GPMin:    4 16:36:09       -6.139496        0.2179
GPMin:    5 16:36:17       -6.172246        0.1712
GPMin:    6 16:36:24       -6.181831        0.1566
GPMin:    7 16:36:53       -6.200333        0.1185
GPMin:    8 16:37:21       -6.204400        0.1657
GPMin:    9 16:37:28       -6.208434        0.1479
GPMin:   10 16:37:49       -6.232182        0.2283
GPMin:   11 16:37:56       -6.240784        0.2027
GPMin:   12 16:38:05       -6.260902        0.1332
GPMin:   13 16:38:13       -6.271606        0.1152
GPMin:   14 16:38:21       -6.287895        0.1168
GPMin:   15 16:38:29       -6.302135        0.1377
GPMin:   16 16:38:37       -6.308758        0.1303
GPMin:   17 16:38:45       -6.343029        0.1099
GPMin:   18 16:38:51       -6.349372        0.1029
GPMin:   19 16:39:00       -6.398427        0.1336
GPMin:   20 16:39:15       -6.402461        0.1682
GPMin:   21 16:39:22       -6.446984        0.1460
GPMin:   22 16:39:29       -6.474068        0.1046
GPMin:   23 16:39:36       -6.491467        0.1084
GPMin:   24 16:39:43       -6.505696        0.1176
GPMin:   25 16:39:49       -6.531441        0.1079
GPMin:   26 16:39:56       -6.553634        0.1057
GPMin:   27 16:40:03       -6.584177        0.1165
GPMin:   28 16:40:09       -6.615340        0.1285
GPMin:   29 16:40:16       -6.654875        0.1407
GPMin:   30 16:40:22       -6.698063        0.1497
